Nummer;CalculatedEmissionLowering;CalculatedEmission;FixedCharge;CalculatedConsumption;AdditionalHeatCost;CalculatedEnergySavings;ElectricityPrice;HeatSupplyCost;CalculatedEnergyConsumption;HeatSupply;ExtraCostPrYear;TotalProfitableInvestment;AdditionalHeat;PossibleEnergyLabelForAllProfitableProposals;TotalRecommendedInvestment;ExtraCostPrYearForRecommendedProposals;ExtraCostPrYearForAllProposals;PossibleEnergyLabelForAllProposals;ExtraCostPrYear;TotalProfitableInvestment
311441405;79900;1306500;3561,5028;12100;0;1200;2,23;420,54;20100;DistrictHeat;500;Kan ikke beregnes;Ingen;C;0;0;500;C;0;0
311441406;4635100;7107600;0;26600;0;14200;2,2;992,673267326733;26800;FuelGasOil;9700;Kan ikke beregnes;Wood;B;0;0;9700;C;9700;100000
311441407;4385000;4868100;0;33300;0;22300;1,347;1347;24800;Electricity;30800;Kan ikke beregnes;Ingen;A2010;0;0;30800;A2020;27900;333000
311441408;476500;1496300;3729;18300;0;2500;2,2;629;23100;DistrictHeat;5300;Kan ikke beregnes;Ingen;C;0;0;5300;B;0;0
311441410;0;-23079550;2812,5;8299;0;0;2,1;610;7637;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441412;579700;1423500;658,83;10600;0;6100;2,1;453,75;21900;DistrictHeat;5100;Kan ikke beregnes;Ingen;C;0;0;5100;B;1800;26000
311441413;788000;0;0;23900;0;30400;2,2;422,680412371134;56500;WoodPellets;20000;Kan ikke beregnes;Ingen;D;0;0;20000;B;8400;68700
311441414;639700;2767700;5562,5;20500;0;9300;2,13;350;42600;DistrictHeat;3700;Kan ikke beregnes;Ingen;C;0;0;3700;C;2700;45800
311441415;326400;5320900;31186,25;59500;0;3900;2,2;345;81900;DistrictHeat;2400;8000;Ingen;A2010;0;0;2400;A2010;2400;8000
311441416;9133900;9493100;0;39100;2330;16200;2,33;1059,40594059406;36100;FuelGasOil;27400;149800;Electricity;D;128200;0;27400;D;27400;149800
311441417;430200;1131000;3168,75;11300;0;3800;2,1;462,5;17400;DistrictHeat;4000;Kan ikke beregnes;Ingen;C;0;0;4000;B;0;0
311441418;33100;1059500;3837,52;13000;0;500;2,1;560;16300;DistrictHeat;300;7800;Ingen;C;0;0;300;C;300;7800
311441419;957000;1605500;3389,5;15700;0;12200;2,1;495;24700;DistrictHeat;8000;Kan ikke beregnes;Ingen;D;0;0;8000;B;400;9900
311441429;865700;1968200;3163,5;16500;0;7500;2,3;440;30300;DistrictHeat;8600;Kan ikke beregnes;Wood;C;0;0;8600;A2010;800;5000
311441430;752900;1127100;0;11800;0;8300;2,1;679,53;17400;DistrictHeat;8000;Kan ikke beregnes;Ingen;C;0;0;8000;A2010;1900;58000
311441431;1265800;8830700;0;25300;0;6300;2,2;519,090909090909;43400;NaturalGas;7100;Kan ikke beregnes;Ingen;C;0;0;7100;C;5500;83900
311441432;0;1428800;55300;61900;0;0;0;296,762589928058;22000;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441433;0;445300;2100;6000;0;0;2;565;6900;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441434;-6100;0;0;24000;422,680412371134;28200;2,2;422,680412371134;56700;WoodPellets;11900;Kan ikke beregnes;WoodPellets;D;0;0;11900;C;4200;94900
311441435;0;326900;0;2000;0;0;1,147;1147;1700;Electricity;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441436;75800;1599100;5284;25800;0;800;1,8;832,302158273381;24700;DistrictHeat;700;7000;Wood;C;0;0;700;C;700;7000
311441437;1453400;1752000;0;11100;0;7300;1,247;1247;8900;Electricity;9800;Kan ikke beregnes;Ingen;B;0;0;9800;A2010;6500;166200
311441438;180500;226600;0;5109;0;900;1,347;1347;1167;Electricity;1200;Kan ikke beregnes;Ingen;A2010;0;0;1200;A2015;0;0
311441446;538200;1467100;6409,343;18700;0;6000;2,09;542,25;22600;DistrictHeat;5000;Kan ikke beregnes;Ingen;C;0;0;5000;B;2400;40300
311441447;129300;1022300;3633,28;10959;0;2000;2,01;495;15767;DistrictHeat;1000;Kan ikke beregnes;Ingen;C;0;0;1000;B;0;0
311441448;430000;739100;2398;8800;0;4600;2;560;11400;DistrictHeat;4000;Kan ikke beregnes;Ingen;A2010;0;0;4000;A2010;2800;47800
311441449;499000;1369600;2530;16300;0;7300;0;650;21100;DistrictHeat;5100;Kan ikke beregnes;Ingen;C;0;0;5100;C;3800;110600
311441450;0;516100;6575;9900;0;0;2,3;418,165467625899;8000;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441451;0;373400;0;2800;0;0;1,447;1447;1900;Electricity;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441452;0;325500;0;2400;0;0;1,447;1447;1700;Electricity;0;Kan ikke beregnes;Ingen;A2020;0;0;0;A2020;0;0
311441453;662800;1666600;4291,43;21700;0;7400;2,2;678,7;25700;DistrictHeat;7100;Kan ikke beregnes;Ingen;D;0;0;7100;C;1200;29400
311441454;476100;1352000;2629,1;12900;0;4600;2,1;491,007194244604;20800;DistrictHeat;4400;Kan ikke beregnes;Ingen;C;0;0;4400;C;2000;42500
311441455;926400;1587800;3612,5;19500;2080;5600;2,08;625;18600;DistrictHeat;9700;Kan ikke beregnes;Electricity;C;114100;0;9700;A2010;7100;88500
311441464;16800;0;0;14000;0;10600;2,3;422,680412371134;33000;WoodPellets;4600;Kan ikke beregnes;Ingen;D;0;0;4600;C;0;0
311441465;479700;2149500;0;18000;0;2400;1,647;1647;11000;Electricity;4000;Kan ikke beregnes;Wood;C;0;0;4000;C;0;0
311441466;1613700;2676900;0;18900;435,077272727273;10300;1,247;1247;18000;Electricity;11500;Kan ikke beregnes;Wood;D;0;0;11500;D;9500;69100
311441467;0;0;0;0;0;0;0;0;0;;0;Kan ikke beregnes;Ingen;;0;0;0;;0;0
311441468;504200;1487100;1850;11200;1147;3800;1,147;410;20600;DistrictHeat;3700;Kan ikke beregnes;Electricity;D;0;0;3700;C;2000;20500
311441469;2196400;3808800;525;15800;0;10900;2,15;654,545454545455;18800;NaturalGas;11400;Kan ikke beregnes;Ingen;B;0;0;11400;A2010;7300;105500
311441470;0;504800;0;3800;0;0;1,447;1447;2600;Electricity;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441471;302900;978300;4510;12000;0;2400;2,1;492,610837438424;15100;DistrictHeat;3000;Kan ikke beregnes;Wood;B;0;0;3000;A2010;2000;35000
311441472;26200;1090800;5336;13300;0;400;2,2;468,056;16700;DistrictHeat;200;Kan ikke beregnes;Ingen;C;0;0;200;C;0;300
311441473;-341900;152700;0;14900;0;21000;2,1;535,715;25600;Straw;11800;Kan ikke beregnes;Ingen;C;0;0;11800;A2010;3100;62600
311441482;115000;788500;1840;8700;0;1800;2,02;565;12200;DistrictHeat;1000;Kan ikke beregnes;Ingen;C;0;0;1000;C;600;15800
311441483;0;388100;5065;7900;0;0;2,3;473,75;6000;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441484;0;475200;625;4800;0;0;2,3;562,5;7400;DistrictHeat;0;Kan ikke beregnes;Ingen;A2015;0;0;0;A2015;0;0
311441486;367400;1159600;1637,5;10300;0;3100;2,15;483,597122302158;17900;DistrictHeat;3600;Kan ikke beregnes;Ingen;C;0;0;3600;A2010;900;27500
311441487;-265800;493300;0;14800;2100;21000;2,1;422,680412371134;24900;WoodPellets;10700;Kan ikke beregnes;Electricity;A2010;0;0;10700;A2010;9900;180300
311441488;388700;1329900;932,85;9500;0;6000;2,2;417;20500;DistrictHeat;2500;Kan ikke beregnes;Ingen;C;0;0;2500;C;1100;41100
