Nummer;CalculatedConsumption;CalculatedEnergyConsumption;ElectricityPrice;FixedCharge;HeatSupplyCost;ExtraCostPrYear;TotalProfitableInvestment;CalculatedEmissionLowering;AdditionalHeat;CalculatedEmission;HeatSupply;AdditionalHeatCost;CalculatedEnergySavings;PossibleEnergyLabelForAllProposals;TotalRecommendedInvestment;PossibleEnergyLabelForAllProfitableProposals;ExtraCostPrYearForAllProposals;ExtraCostPrYearForRecommendedProposals;ExtraCostPrYear;TotalProfitableInvestment
311380582;7600;7900;0;3218;557,23;400;Kan ikke beregnes;34400;Ingen;499900;DistrictHeat;0;700;A2010;0;A2010;400;0;0;0
100271876;Er ikke beregnet;Er ikke beregnet;2,08;0;1014,85148514851;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;Wood;Er ikke beregnet;FuelGasOil;441,176470588235;Er ikke beregnet;;;A2;42960;;24700;240100
100260599;Er ikke beregnet;Er ikke beregnet;2;0;750;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;B;7200;;2700;35000
311152759;113600;150200;2,25;30870,72;551,05;22100;260500;6511800;Ingen;21167000;DistrictHeat;0;9900;C;0;C;22100;0;22100;0
310026624;83800;95600;2;26712,3125;597,3;43100;Kan ikke beregnes;12354600;Ingen;13468400;DistrictHeat;0;45400;A2020;560000;A2020;43100;0;36500;0
311340974;15800;23300;2,2;0;677,272727272727;7300;Kan ikke beregnes;1603500;Ingen;4739000;NaturalGas;0;7900;C;0;D;7300;0;100;1800
100275377;Er ikke beregnet;Er ikke beregnet;2;1219,9625;597,3;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;B;5100;;3200;33700
311051406;21400;25400;2,12;0;840,909090909091;11800;Kan ikke beregnes;2823400;Ingen;5169400;NaturalGas;0;14700;C;0;D;11800;0;5800;0
200032214;Er ikke beregnet;Er ikke beregnet;1,70000004768372;96309;0;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;DistrictHeat;0;Er ikke beregnet;;;D;65030;;69700;1400
311334703;19300;25700;2,2;0;422,680412371134;13300;Kan ikke beregnes;393600;Electricity;928300;WoodPellets;2200;23000;A2010;0;D;13300;0;9100;219300
200005254;Er ikke beregnet;Er ikke beregnet;1,8;0;763,636363636364;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;NaturalGas;0;Er ikke beregnet;;;C;11500;;7400;4200
100248133;Er ikke beregnet;Er ikke beregnet;2;0;910,891035820572;Er ikke beregnet;Er ikke beregnet;Er ikke beregnet;;Er ikke beregnet;FuelGasOil;0;Er ikke beregnet;;;C;7700;;6200;1000
