id_lokalId;husnummer;byg021BygningensAnvendelse;byg038SamletBygningsareal;byg039BygningensSamledeBoligAreal;byg040BygningensSamledeErhvervsAreal;byg026Opførelsesår;byg027OmTilbygningsår;byg056Varmeinstallation;byg057Opvarmningsmiddel;byg058SupplerendeVarme;byg404Koordinat;byg406Koordinatsystem;status
c1750062-038b-4351-bf1a-6cc190397992;0a3f507d-1d4d-32b8-e044-0003ba298018;930;;;;1965;;;;;POINT(700794.76 6167851.21);5;6
c1775bfa-a97a-4b62-a6a5-531e637fa614;0a3f507c-fd41-32b8-e044-0003ba298018;130;93;93;;1995;;1;;90;POINT(705716.08 6170291.82);5;6
c1779228-f847-4cd4-8ea0-cf790c93638e;0a3f507c-f99f-32b8-e044-0003ba298018;930;;;;2016;;;;;POINT(707220.67 6171820.17);5;6
c179a037-8e4c-43ac-86a4-f2e471295120;0a3f507d-03a8-32b8-e044-0003ba298018;910;;;;1000;;;;;POINT(707870.1 6171106.83);5;6
c17bad6f-580a-4227-b32a-ab9667269c8e;0a3f507c-ecc4-32b8-e044-0003ba298018;120;;;;;2018;;;;;;9
c17d543b-d161-401e-b826-a6ecc92016fa;0a3f507d-1607-32b8-e044-0003ba298018;930;;;;1968;;;;;POINT(706891.42 6171010.8);5;6
c181b57e-3154-40eb-98d1-2aa89049bb1f;0a3f507c-fe21-32b8-e044-0003ba298018;120;120;160;;1972;;2;7;5;POINT(700827.16 6173007.22);5;6
c185048e-eaa4-47f3-8a14-9949ba7737a7;0a3f507d-0602-32b8-e044-0003ba298018;120;99;179;;1980;2000;2;7;;POINT(704713.94 6172103.24);5;6
c1880036-3cca-4f5d-a5c2-41a541466948;0a3f507c-f1c7-32b8-e044-0003ba298018;920;;;;1972;;;;;POINT(700546.88 6173249.48);5;6
c18ca427-cb1a-4f9c-97ee-2c043bf60cec;0a3f507d-09f1-32b8-e044-0003ba298018;930;;;;1000;;;;;POINT(700773.36 6171970.02);5;6
c18d3f43-f0fe-40c2-b2be-5788fc9c1741;0a3f507c-f0cf-32b8-e044-0003ba298018;130;107;107;;1970;;1;;2;POINT(707746.84 6170716.1);5;6
c18faf5c-3d9e-4ea5-93ba-52585aa305ea;0a3f507c-f70f-32b8-e044-0003ba298018;920;;;;1999;;;;;POINT(700878.82 6171307.53);5;6
c1903dd4-4af4-4826-80dd-e7800902f83f;0a3f507c-fc79-32b8-e044-0003ba298018;220;;;;;;;;;;;9
c190ac93-b96d-49bf-be32-6ac98038c3d8;0a3f507c-ec13-32b8-e044-0003ba298018;120;;;;;;;;;;;9
c192ae8a-04f7-4f54-bfa7-12150ae8543d;0a3f507d-20f0-32b8-e044-0003ba298018;130;374;374;;1971;1988;1;;90;POINT(708506.28 6171384.95);5;6
c1964525-992f-4553-9f67-c5278d46effe;0a3f507c-fc79-32b8-e044-0003ba298018;320;68;;68;2002;;2;9;;;;10
c1984ee0-b029-464a-b9d2-f317f99547af;0a3f507d-0cfd-32b8-e044-0003ba298018;910;;;;1000;;;;;POINT(701399.46 6172105.15);5;6
